Training kernel for kitchen Dataset
Using device: cuda
saved stats to ./Transition_Kernel/Kitchen_Kernel/Stats/Kitchen_Kernel_stats.pkl

Step 8630, loss -114.8199
Step 8640, loss -116.1824
Step 8650, loss -107.9039
Step 8660, loss -113.9611
Step 8670, loss -114.9155
Step 8680, loss -114.2277
Step 8690, loss -108.4725
Step 8700, loss -114.1199
Step 8710, loss -113.3887
Step 8720, loss -113.9859
Step 8730, loss -111.9075
Step 8740, loss -114.1430
Step 8750, loss -110.7133
Step 8760, loss -112.5171
Step 8770, loss -113.2781
Step 8780, loss -104.9099
Step 8790, loss -111.3219
Step 8800, loss -113.9882
Step 8810, loss -112.8261
Step 8820, loss -113.1668
Step 8830, loss -115.2482
Step 8840, loss -112.7113
Step 8850, loss -114.2251
Step 8860, loss -115.8570
Step 8870, loss -113.5396
Step 8880, loss -115.5637
Step 8890, loss -116.3149
Step 8900, loss -114.8525
Step 8910, loss -117.2295
Step 8920, loss -116.1656
Step 8930, loss -117.0355
Step 8940, loss -118.1279
Step 8950, loss -114.4077
Step 8960, loss -117.1267
Step 8970, loss -117.9370
Step 8980, loss -114.0869
Step 8990, loss -108.6270
Step 9000, loss -112.1556
Step 9010, loss -116.6733
Step 9020, loss -116.1560
Step 9030, loss -114.9805
Step 9040, loss -118.0493
Step 9050, loss -113.1301
Step 9060, loss -112.1146
Step 9070, loss -115.9280
Step 9080, loss -112.0713
Step 9090, loss -113.1413
Step 9100, loss -114.2161
Step 9110, loss -112.5852
Step 9120, loss -115.7206
Step 9130, loss -115.7214
Step 9140, loss -117.6588
Step 9150, loss -116.4356
Step 9160, loss -116.0468
Step 9170, loss -114.5594
Step 9180, loss -117.4158
Step 9190, loss -118.8607
Step 9200, loss -117.6784
Step 9210, loss -116.7902
Step 9220, loss -118.1688
Step 9230, loss -116.4244
Step 9240, loss -116.0412
Step 9250, loss -117.9380
Step 9260, loss -116.7591
Step 9270, loss -119.0911
Step 9280, loss -117.6300
Step 9290, loss -113.1590
Step 9300, loss -111.5729
Step 9310, loss -112.5942
Step 9320, loss -117.9093
Step 9330, loss -116.1640
Step 9340, loss -118.6192
Step 9350, loss -117.3122
Step 9360, loss -117.1429
Step 9370, loss -117.1614
Step 9380, loss -116.5296
Step 9390, loss -118.7822
Step 9400, loss -118.8497
Step 9410, loss -117.9794
Step 9420, loss -118.1190
Step 9430, loss -104.8044
Step 9440, loss -112.1365
Step 9450, loss -116.4465
Step 9460, loss -119.9162
Step 9470, loss -114.8029
Step 9480, loss -114.8135
Step 9490, loss -115.9140
Step 9500, loss -114.8883
Step 9510, loss -115.4967
Step 9520, loss -120.1186
Step 9530, loss -119.2753
Step 9540, loss -117.8411
Step 9550, loss -117.1865
Step 9560, loss -113.7496
Step 9570, loss -113.3726
Step 9580, loss -117.0153
Step 9590, loss -116.9302
Step 9600, loss -117.1254
Step 9610, loss -119.7816
Step 9620, loss -120.3863
Step 9630, loss -118.0580
Step 9640, loss -111.1426
Step 9650, loss -115.4098
Step 9660, loss -118.6157
Step 9670, loss -114.4848
Step 9680, loss -118.5373
Step 9690, loss -118.2899
